lcl|PEKT02000007.1_mrna_1	B9J08_002585
lcl|PEKT02000007.1_mrna_1345	B9J08_003930
lcl|PEKT02000007.1_mrna_1346	B9J08_003931
lcl|PEKT02000007.1_mrna_1347	B9J08_003932
lcl|PEKT02000007.1_mrna_1348	B9J08_003933
lcl|PEKT02000007.1_mrna_1349	B9J08_003934
lcl|PEKT02000007.1_mrna_1350	B9J08_003935
lcl|PEKT02000007.1_mrna_1351	B9J08_003936
lcl|PEKT02000007.1_mrna_1352	B9J08_003937
lcl|PEKT02000007.1_mrna_1353	B9J08_003938
lcl|PEKT02000007.1_mrna_1354	B9J08_003939
lcl|PEKT02000007.1_mrna_1355	B9J08_003940
lcl|PEKT02000007.1_mrna_1356	B9J08_003941
lcl|PEKT02000007.1_mrna_1357	B9J08_003942
lcl|PEKT02000007.1_mrna_1358	B9J08_003943
lcl|PEKT02000007.1_mrna_1359	B9J08_003944
lcl|PEKT02000007.1_mrna_1360	B9J08_003945
lcl|PEKT02000007.1_mrna_1361	B9J08_003946
lcl|PEKT02000007.1_mrna_1362	B9J08_003947
lcl|PEKT02000007.1_mrna_1363	B9J08_003948
lcl|PEKT02000007.1_mrna_1364	B9J08_003949
lcl|PEKT02000007.1_mrna_1365	B9J08_003950
lcl|PEKT02000007.1_mrna_1366	B9J08_003951
lcl|PEKT02000007.1_mrna_1367	B9J08_003952
lcl|PEKT02000007.1_mrna_1368	B9J08_003953
lcl|PEKT02000007.1_mrna_1369	B9J08_003954
lcl|PEKT02000007.1_mrna_1370	B9J08_003955
lcl|PEKT02000007.1_mrna_1371	B9J08_003956
lcl|PEKT02000007.1_mrna_1372	B9J08_003957
lcl|PEKT02000007.1_mrna_1373	B9J08_003958
lcl|PEKT02000007.1_mrna_1374	B9J08_003959
lcl|PEKT02000007.1_mrna_1375	B9J08_003960
lcl|PEKT02000007.1_mrna_1376	B9J08_003961
lcl|PEKT02000007.1_mrna_1377	B9J08_003962
lcl|PEKT02000007.1_mrna_1378	B9J08_003963
lcl|PEKT02000007.1_mrna_1379	B9J08_003964
lcl|PEKT02000007.1_mrna_1380	B9J08_003965
lcl|PEKT02000007.1_mrna_1381	B9J08_003966
lcl|PEKT02000007.1_mrna_1382	B9J08_003967
lcl|PEKT02000007.1_mrna_1383	B9J08_003968
lcl|PEKT02000007.1_mrna_1384	B9J08_003969
lcl|PEKT02000007.1_mrna_1385	B9J08_003970
lcl|PEKT02000007.1_mrna_1386	B9J08_003971
lcl|PEKT02000007.1_mrna_1387	B9J08_003972
lcl|PEKT02000007.1_mrna_1388	B9J08_003973
lcl|PEKT02000007.1_mrna_1389	B9J08_003974
lcl|PEKT02000007.1_mrna_1390	B9J08_003975
lcl|PEKT02000007.1_mrna_1391	B9J08_003976
lcl|PEKT02000007.1_mrna_1392	B9J08_003977
lcl|PEKT02000007.1_trna_1393	B9J08_003978
lcl|PEKT02000007.1_mrna_1394	B9J08_003979
lcl|PEKT02000007.1_mrna_1395	B9J08_003980
lcl|PEKT02000007.1_mrna_1396	B9J08_003981
lcl|PEKT02000007.1_mrna_1397	B9J08_003982
lcl|PEKT02000007.1_mrna_1398	B9J08_003983
lcl|PEKT02000007.1_mrna_1399	B9J08_003984
lcl|PEKT02000007.1_mrna_1400	B9J08_003985
lcl|PEKT02000007.1_mrna_1401	B9J08_003986
lcl|PEKT02000007.1_mrna_1402	B9J08_003987
lcl|PEKT02000007.1_mrna_1403	B9J08_003988
lcl|PEKT02000007.1_mrna_1404	B9J08_003989
lcl|PEKT02000007.1_mrna_1405	B9J08_003990
lcl|PEKT02000007.1_mrna_1406	B9J08_003991
lcl|PEKT02000007.1_mrna_1407	B9J08_003992
lcl|PEKT02000007.1_mrna_1408	B9J08_003993
lcl|PEKT02000007.1_trna_1409	B9J08_003994
lcl|PEKT02000007.1_mrna_1410	B9J08_003995
lcl|PEKT02000007.1_mrna_1411	B9J08_003996
lcl|PEKT02000007.1_mrna_1412	B9J08_003997
lcl|PEKT02000007.1_mrna_1413	B9J08_003998
lcl|PEKT02000007.1_mrna_1414	B9J08_003999
lcl|PEKT02000007.1_mrna_1415	B9J08_004000
lcl|PEKT02000007.1_mrna_1416	B9J08_004001
lcl|PEKT02000007.1_mrna_1417	B9J08_004002
lcl|PEKT02000007.1_mrna_1418	B9J08_004003
lcl|PEKT02000007.1_mrna_1419	B9J08_004004
lcl|PEKT02000007.1_mrna_1420	B9J08_004005
lcl|PEKT02000007.1_mrna_1421	B9J08_004006
lcl|PEKT02000007.1_mrna_1422	B9J08_004007
lcl|PEKT02000007.1_mrna_1423	B9J08_004008
lcl|PEKT02000007.1_mrna_1424	B9J08_004009
lcl|PEKT02000007.1_mrna_1425	B9J08_004010
lcl|PEKT02000007.1_mrna_1426	B9J08_004011
lcl|PEKT02000007.1_mrna_1427	B9J08_004012
lcl|PEKT02000007.1_mrna_1428	B9J08_004013
lcl|PEKT02000007.1_mrna_1429	B9J08_004014
lcl|PEKT02000007.1_mrna_1430	B9J08_004015
lcl|PEKT02000007.1_mrna_1431	B9J08_004016
lcl|PEKT02000007.1_mrna_1432	B9J08_004017
lcl|PEKT02000007.1_mrna_1433	B9J08_004018
lcl|PEKT02000007.1_mrna_1434	B9J08_004019
lcl|PEKT02000007.1_mrna_1435	B9J08_004020
lcl|PEKT02000007.1_mrna_1436	B9J08_004021
lcl|PEKT02000007.1_mrna_1437	B9J08_004022
lcl|PEKT02000007.1_mrna_1438	B9J08_004023
lcl|PEKT02000007.1_mrna_1439	B9J08_004024
lcl|PEKT02000007.1_mrna_1440	B9J08_004025
lcl|PEKT02000007.1_mrna_1441	B9J08_004026
lcl|PEKT02000007.1_mrna_1442	B9J08_004027
lcl|PEKT02000007.1_mrna_1443	B9J08_004028
lcl|PEKT02000007.1_mrna_1444	B9J08_004029
lcl|PEKT02000007.1_mrna_1445	B9J08_004030
lcl|PEKT02000007.1_mrna_1446	B9J08_004031
lcl|PEKT02000007.1_mrna_1447	B9J08_004032
lcl|PEKT02000007.1_mrna_1448	B9J08_004033
lcl|PEKT02000007.1_mrna_1449	B9J08_004034
lcl|PEKT02000007.1_mrna_1450	B9J08_004035
lcl|PEKT02000007.1_mrna_1451	B9J08_004036
lcl|PEKT02000007.1_mrna_1452	B9J08_004037
lcl|PEKT02000007.1_mrna_1453	B9J08_004038
lcl|PEKT02000007.1_mrna_1454	B9J08_004039
lcl|PEKT02000007.1_mrna_1455	B9J08_004040
lcl|PEKT02000007.1_mrna_1456	B9J08_004041
lcl|PEKT02000007.1_mrna_1457	B9J08_004042
lcl|PEKT02000007.1_mrna_1458	B9J08_004043
lcl|PEKT02000007.1_mrna_1459	B9J08_004044
lcl|PEKT02000007.1_mrna_1460	B9J08_004045
lcl|PEKT02000007.1_mrna_1461	B9J08_004046
lcl|PEKT02000007.1_mrna_1462	B9J08_004047
lcl|PEKT02000007.1_mrna_1463	B9J08_004048
lcl|PEKT02000007.1_mrna_1464	B9J08_004049
lcl|PEKT02000007.1_mrna_1465	B9J08_004050
lcl|PEKT02000007.1_mrna_1466	B9J08_004051
lcl|PEKT02000007.1_mrna_1467	B9J08_004052
lcl|PEKT02000007.1_mrna_1468	B9J08_004053
lcl|PEKT02000007.1_mrna_1469	B9J08_004054
lcl|PEKT02000007.1_mrna_1470	B9J08_004055
lcl|PEKT02000007.1_mrna_1471	B9J08_004056
lcl|PEKT02000007.1_mrna_1472	B9J08_004057
lcl|PEKT02000007.1_mrna_1473	B9J08_004058
lcl|PEKT02000007.1_mrna_1474	B9J08_004059
lcl|PEKT02000007.1_mrna_1475	B9J08_004060
lcl|PEKT02000007.1_mrna_1476	B9J08_004061
lcl|PEKT02000007.1_mrna_1477	B9J08_004062
lcl|PEKT02000007.1_trna_1478	B9J08_004063
lcl|PEKT02000007.1_mrna_1479	B9J08_004064
lcl|PEKT02000007.1_mrna_1480	B9J08_004065
lcl|PEKT02000007.1_mrna_1481	B9J08_004066
lcl|PEKT02000007.1_mrna_1482	B9J08_004067
lcl|PEKT02000007.1_mrna_1483	B9J08_004068
lcl|PEKT02000007.1_mrna_1484	B9J08_004069
lcl|PEKT02000007.1_mrna_1485	B9J08_004070
lcl|PEKT02000007.1_mrna_1486	B9J08_004071
lcl|PEKT02000007.1_mrna_1487	B9J08_004072
lcl|PEKT02000007.1_mrna_1488	B9J08_004073
lcl|PEKT02000007.1_mrna_1489	B9J08_004074
lcl|PEKT02000007.1_mrna_1490	B9J08_004075
lcl|PEKT02000007.1_mrna_1491	B9J08_004076
lcl|PEKT02000007.1_mrna_1492	B9J08_004077
lcl|PEKT02000007.1_mrna_1493	B9J08_004078
lcl|PEKT02000007.1_mrna_1494	B9J08_004079
lcl|PEKT02000007.1_mrna_1495	B9J08_004080
lcl|PEKT02000007.1_mrna_1496	B9J08_004081
lcl|PEKT02000007.1_mrna_1497	B9J08_004082
lcl|PEKT02000007.1_mrna_1498	B9J08_004083
lcl|PEKT02000007.1_mrna_1499	B9J08_004084
lcl|PEKT02000007.1_mrna_1500	B9J08_004085
lcl|PEKT02000007.1_mrna_1501	B9J08_004086
lcl|PEKT02000007.1_mrna_1502	B9J08_004087
lcl|PEKT02000007.1_mrna_1503	B9J08_004088
lcl|PEKT02000007.1_mrna_1504	B9J08_004089
lcl|PEKT02000007.1_mrna_1505	B9J08_004090
lcl|PEKT02000007.1_mrna_1506	B9J08_004091
lcl|PEKT02000007.1_mrna_1507	B9J08_004092
lcl|PEKT02000007.1_mrna_1508	B9J08_004093
lcl|PEKT02000007.1_mrna_1509	B9J08_004094
lcl|PEKT02000007.1_mrna_1510	B9J08_004095
lcl|PEKT02000007.1_mrna_1511	B9J08_004096
lcl|PEKT02000007.1_mrna_1512	B9J08_004097
lcl|PEKT02000007.1_mrna_1513	B9J08_004098
lcl|PEKT02000007.1_mrna_1514	B9J08_004099
lcl|PEKT02000007.1_mrna_1515	B9J08_004100
lcl|PEKT02000007.1_mrna_1516	B9J08_004101
lcl|PEKT02000007.1_mrna_1517	B9J08_004102
lcl|PEKT02000010.1_mrna_1518	B9J08_004897
lcl|PEKT02000010.1_mrna_1519	B9J08_004898
lcl|PEKT02000010.1_mrna_1520	B9J08_004899
lcl|PEKT02000010.1_mrna_1521	B9J08_004900
lcl|PEKT02000010.1_trna_1522	B9J08_004901
lcl|PEKT02000010.1_mrna_1523	B9J08_004902
lcl|PEKT02000010.1_mrna_1524	B9J08_004903
lcl|PEKT02000010.1_mrna_1525	B9J08_004904
lcl|PEKT02000010.1_mrna_1526	B9J08_004905
lcl|PEKT02000010.1_mrna_1527	B9J08_004906
lcl|PEKT02000010.1_mrna_1528	B9J08_004907
lcl|PEKT02000010.1_mrna_1529	B9J08_004908
lcl|PEKT02000010.1_mrna_1530	B9J08_004909
lcl|PEKT02000010.1_mrna_1531	B9J08_004910
lcl|PEKT02000010.1_mrna_1532	B9J08_004911
lcl|PEKT02000010.1_mrna_1533	B9J08_004912
lcl|PEKT02000010.1_mrna_1534	B9J08_004913
lcl|PEKT02000010.1_mrna_1535	B9J08_004914
lcl|PEKT02000010.1_trna_1536	B9J08_004915
lcl|PEKT02000010.1_mrna_1537	B9J08_004916
lcl|PEKT02000010.1_mrna_1538	B9J08_004917
lcl|PEKT02000010.1_mrna_1539	B9J08_004918
lcl|PEKT02000010.1_mrna_1540	B9J08_004919
lcl|PEKT02000010.1_mrna_1541	B9J08_004920
lcl|PEKT02000010.1_mrna_1542	B9J08_004921
lcl|PEKT02000010.1_mrna_1543	B9J08_004922
lcl|PEKT02000010.1_mrna_1544	B9J08_004923
lcl|PEKT02000010.1_mrna_1545	B9J08_004924
lcl|PEKT02000010.1_mrna_1546	B9J08_004925
lcl|PEKT02000010.1_mrna_1547	B9J08_004926
lcl|PEKT02000010.1_mrna_1548	B9J08_004927
lcl|PEKT02000010.1_mrna_1549	B9J08_004928
lcl|PEKT02000010.1_mrna_1550	B9J08_004929
lcl|PEKT02000010.1_mrna_1551	B9J08_004930
lcl|PEKT02000010.1_mrna_1552	B9J08_004931
lcl|PEKT02000010.1_mrna_1553	B9J08_004932
lcl|PEKT02000010.1_mrna_1554	B9J08_004933
lcl|PEKT02000010.1_mrna_1555	B9J08_004934
lcl|PEKT02000010.1_mrna_1556	B9J08_004935
lcl|PEKT02000010.1_mrna_1557	B9J08_004936
lcl|PEKT02000010.1_mrna_1558	B9J08_004937
lcl|PEKT02000010.1_mrna_1559	B9J08_004938
lcl|PEKT02000010.1_mrna_1560	B9J08_004939
lcl|PEKT02000010.1_mrna_1561	B9J08_004940
lcl|PEKT02000010.1_mrna_1562	B9J08_004941
lcl|PEKT02000010.1_mrna_1563	B9J08_004942
lcl|PEKT02000010.1_mrna_1564	B9J08_004943
lcl|PEKT02000010.1_mrna_1565	B9J08_004944
lcl|PEKT02000010.1_mrna_1566	B9J08_004945
lcl|PEKT02000010.1_mrna_1567	B9J08_004946
lcl|PEKT02000010.1_mrna_1568	B9J08_004947
lcl|PEKT02000010.1_mrna_1569	B9J08_004948
lcl|PEKT02000010.1_mrna_1570	B9J08_004949
lcl|PEKT02000010.1_mrna_1571	B9J08_004950
lcl|PEKT02000010.1_mrna_1572	B9J08_004951
lcl|PEKT02000010.1_mrna_1573	B9J08_004952
lcl|PEKT02000010.1_mrna_1574	B9J08_004953
lcl|PEKT02000010.1_mrna_1575	B9J08_004954
lcl|PEKT02000010.1_mrna_1576	B9J08_004955
lcl|PEKT02000010.1_mrna_1577	B9J08_004956
lcl|PEKT02000010.1_mrna_1578	B9J08_004957
lcl|PEKT02000010.1_mrna_1579	B9J08_004958
lcl|PEKT02000010.1_mrna_1580	B9J08_004959
lcl|PEKT02000010.1_mrna_1581	B9J08_004960
lcl|PEKT02000010.1_mrna_1582	B9J08_004961
lcl|PEKT02000010.1_mrna_1583	B9J08_004962
lcl|PEKT02000010.1_mrna_1584	B9J08_004963
lcl|PEKT02000010.1_mrna_1585	B9J08_004964
lcl|PEKT02000010.1_mrna_1586	B9J08_004965
lcl|PEKT02000010.1_mrna_1587	B9J08_004966
lcl|PEKT02000010.1_mrna_1588	B9J08_004967
lcl|PEKT02000010.1_mrna_1589	B9J08_004968
lcl|PEKT02000010.1_mrna_1590	B9J08_004969
lcl|PEKT02000010.1_mrna_1591	B9J08_004970
lcl|PEKT02000010.1_mrna_1592	B9J08_004971
lcl|PEKT02000010.1_mrna_1593	B9J08_004972
lcl|PEKT02000010.1_mrna_1594	B9J08_004973
lcl|PEKT02000010.1_mrna_1595	B9J08_004974
lcl|PEKT02000010.1_mrna_1596	B9J08_004975
lcl|PEKT02000010.1_mrna_1597	B9J08_004976
lcl|PEKT02000010.1_mrna_1598	B9J08_004977
lcl|PEKT02000010.1_mrna_1599	B9J08_004978
lcl|PEKT02000010.1_mrna_1600	B9J08_004979
lcl|PEKT02000010.1_mrna_1601	B9J08_004980
lcl|PEKT02000010.1_trna_1602	B9J08_004981
lcl|PEKT02000010.1_mrna_1603	B9J08_004982
lcl|PEKT02000010.1_mrna_1604	B9J08_004983
lcl|PEKT02000010.1_mrna_1605	B9J08_004984
lcl|PEKT02000010.1_mrna_1606	B9J08_004985
lcl|PEKT02000010.1_mrna_1607	B9J08_004986
lcl|PEKT02000010.1_mrna_1608	B9J08_004987
lcl|PEKT02000010.1_mrna_1609	B9J08_004988
lcl|PEKT02000010.1_mrna_1610	B9J08_004989
lcl|PEKT02000010.1_mrna_1611	B9J08_004990
lcl|PEKT02000010.1_mrna_1612	B9J08_004991
lcl|PEKT02000010.1_mrna_1613	B9J08_004992
lcl|PEKT02000010.1_mrna_1614	B9J08_004993
lcl|PEKT02000010.1_trna_1615	B9J08_004994
lcl|PEKT02000010.1_trna_1616	B9J08_004995
lcl|PEKT02000010.1_trna_1617	B9J08_004996
lcl|PEKT02000010.1_trna_1618	B9J08_004997
lcl|PEKT02000010.1_mrna_1619	B9J08_004998
lcl|PEKT02000010.1_mrna_1620	B9J08_004999
lcl|PEKT02000010.1_mrna_1621	B9J08_005000
lcl|PEKT02000010.1_mrna_1622	B9J08_005001
lcl|PEKT02000010.1_mrna_1623	B9J08_005002
lcl|PEKT02000010.1_mrna_1624	B9J08_005003
lcl|PEKT02000010.1_mrna_1625	B9J08_005004
lcl|PEKT02000010.1_mrna_1626	B9J08_005005
lcl|PEKT02000010.1_mrna_1627	B9J08_005006
lcl|PEKT02000010.1_mrna_1628	B9J08_005007
lcl|PEKT02000010.1_mrna_1629	B9J08_005008
lcl|PEKT02000010.1_mrna_1630	B9J08_005009
lcl|PEKT02000010.1_mrna_1631	B9J08_005010
lcl|PEKT02000010.1_mrna_1632	B9J08_005011
lcl|PEKT02000010.1_mrna_1633	B9J08_005012
lcl|PEKT02000010.1_mrna_1634	B9J08_005013
lcl|PEKT02000010.1_mrna_1635	B9J08_005014
lcl|PEKT02000010.1_mrna_1636	B9J08_005015
lcl|PEKT02000010.1_mrna_1637	B9J08_005016
lcl|PEKT02000010.1_mrna_1638	B9J08_005017
lcl|PEKT02000010.1_mrna_1639	B9J08_005018
lcl|PEKT02000010.1_mrna_1640	B9J08_005019
lcl|PEKT02000010.1_mrna_1641	B9J08_005020
lcl|PEKT02000010.1_mrna_1642	B9J08_005021
lcl|PEKT02000010.1_mrna_1643	B9J08_005022
lcl|PEKT02000010.1_mrna_1644	B9J08_005023
lcl|PEKT02000010.1_mrna_1645	B9J08_005024
lcl|PEKT02000010.1_mrna_1646	B9J08_005025
lcl|PEKT02000010.1_mrna_1647	B9J08_005026
lcl|PEKT02000010.1_mrna_1648	B9J08_005027
lcl|PEKT02000010.1_mrna_1649	B9J08_005028
lcl|PEKT02000010.1_mrna_1650	B9J08_005029
lcl|PEKT02000010.1_mrna_1651	B9J08_005030
lcl|PEKT02000010.1_mrna_1652	B9J08_005031
lcl|PEKT02000010.1_mrna_1653	B9J08_005032
lcl|PEKT02000010.1_mrna_1654	B9J08_005033
lcl|PEKT02000010.1_mrna_1655	B9J08_005034
lcl|PEKT02000010.1_mrna_1656	B9J08_005035
lcl|PEKT02000010.1_mrna_1657	B9J08_005036
lcl|PEKT02000010.1_mrna_1658	B9J08_005037
lcl|PEKT02000010.1_mrna_1659	B9J08_005038
lcl|PEKT02000010.1_mrna_1660	B9J08_005039
lcl|PEKT02000010.1_mrna_1661	B9J08_005040
lcl|PEKT02000010.1_mrna_1662	B9J08_005041
lcl|PEKT02000010.1_mrna_1663	B9J08_005042
lcl|PEKT02000010.1_mrna_1664	B9J08_005043
lcl|PEKT02000010.1_mrna_1665	B9J08_005044
lcl|PEKT02000010.1_mrna_1666	B9J08_005045
lcl|PEKT02000010.1_mrna_1667	B9J08_005046
lcl|PEKT02000010.1_mrna_1668	B9J08_005047
lcl|PEKT02000010.1_mrna_1669	B9J08_005048
lcl|PEKT02000010.1_mrna_1670	B9J08_005049
lcl|PEKT02000010.1_mrna_1671	B9J08_005050
lcl|PEKT02000010.1_mrna_1672	B9J08_005051
lcl|PEKT02000010.1_mrna_1673	B9J08_005052
lcl|PEKT02000010.1_mrna_1674	B9J08_005053
lcl|PEKT02000010.1_mrna_1675	B9J08_005054
lcl|PEKT02000010.1_mrna_1676	B9J08_005055
lcl|PEKT02000010.1_mrna_1677	B9J08_005056
lcl|PEKT02000010.1_mrna_1678	B9J08_005057
lcl|PEKT02000010.1_mrna_1679	B9J08_005058
lcl|PEKT02000010.1_mrna_1680	B9J08_005059
lcl|PEKT02000010.1_mrna_1681	B9J08_005060
lcl|PEKT02000010.1_mrna_1682	B9J08_005061
lcl|PEKT02000010.1_mrna_1683	B9J08_005062
lcl|PEKT02000010.1_mrna_1684	B9J08_005063
lcl|PEKT02000010.1_mrna_1685	B9J08_005064
lcl|PEKT02000010.1_mrna_1686	B9J08_005065
lcl|PEKT02000010.1_mrna_1687	B9J08_005066
lcl|PEKT02000010.1_mrna_1688	B9J08_005067
lcl|PEKT02000010.1_mrna_1689	B9J08_005068
lcl|PEKT02000010.1_mrna_1690	B9J08_005069
lcl|PEKT02000010.1_mrna_1691	B9J08_005070
lcl|PEKT02000010.1_mrna_1692	B9J08_005071
lcl|PEKT02000010.1_mrna_1693	B9J08_005072
lcl|PEKT02000010.1_mrna_1694	B9J08_005073
lcl|PEKT02000010.1_mrna_1695	B9J08_005074
lcl|PEKT02000010.1_mrna_1696	B9J08_005075
lcl|PEKT02000010.1_mrna_1697	B9J08_005076
lcl|PEKT02000010.1_mrna_1698	B9J08_005077
lcl|PEKT02000010.1_mrna_1699	B9J08_005078
lcl|PEKT02000010.1_trna_1700	B9J08_005079
lcl|PEKT02000010.1_mrna_1701	B9J08_005080
lcl|PEKT02000010.1_mrna_1702	B9J08_005081
lcl|PEKT02000010.1_mrna_1703	B9J08_005082
lcl|PEKT02000010.1_mrna_1704	B9J08_005083
lcl|PEKT02000010.1_mrna_1705	B9J08_005084
lcl|PEKT02000010.1_mrna_1706	B9J08_005085
lcl|PEKT02000010.1_mrna_1707	B9J08_005086
lcl|PEKT02000010.1_mrna_1708	B9J08_005087
lcl|PEKT02000010.1_mrna_1709	B9J08_005088
lcl|PEKT02000010.1_mrna_1710	B9J08_005089
lcl|PEKT02000010.1_mrna_1711	B9J08_005090
lcl|PEKT02000010.1_trna_1712	B9J08_005091
lcl|PEKT02000010.1_mrna_1713	B9J08_005092
lcl|PEKT02000010.1_mrna_1714	B9J08_005093
lcl|PEKT02000010.1_mrna_1715	B9J08_005094
lcl|PEKT02000010.1_mrna_1716	B9J08_005095
lcl|PEKT02000010.1_mrna_1717	B9J08_005096
lcl|PEKT02000010.1_mrna_1718	B9J08_005097
lcl|PEKT02000010.1_mrna_1719	B9J08_005098
lcl|PEKT02000010.1_mrna_1720	B9J08_005099
lcl|PEKT02000010.1_mrna_1721	B9J08_005100
lcl|PEKT02000010.1_mrna_1722	B9J08_005101
lcl|PEKT02000010.1_mrna_1723	B9J08_005102
lcl|PEKT02000010.1_mrna_1724	B9J08_005103
lcl|PEKT02000010.1_mrna_1725	B9J08_005104
lcl|PEKT02000010.1_mrna_1726	B9J08_005105
lcl|PEKT02000010.1_mrna_1727	B9J08_005106
lcl|PEKT02000010.1_mrna_1728	B9J08_005107
lcl|PEKT02000010.1_mrna_1729	B9J08_005108
lcl|PEKT02000010.1_mrna_1730	B9J08_005109
lcl|PEKT02000010.1_mrna_1731	B9J08_005110
lcl|PEKT02000010.1_trna_1732	B9J08_005111
lcl|PEKT02000010.1_mrna_1733	B9J08_005112
lcl|PEKT02000010.1_mrna_1734	B9J08_005113
lcl|PEKT02000010.1_mrna_1735	B9J08_005114
lcl|PEKT02000010.1_mrna_1736	B9J08_005115
lcl|PEKT02000010.1_mrna_1737	B9J08_005116
lcl|PEKT02000010.1_mrna_1738	B9J08_005117
lcl|PEKT02000010.1_mrna_1739	B9J08_005118
lcl|PEKT02000010.1_mrna_1740	B9J08_005119
lcl|PEKT02000010.1_mrna_1741	B9J08_005120
lcl|PEKT02000010.1_mrna_1742	B9J08_005121
lcl|PEKT02000010.1_mrna_1743	B9J08_005122
lcl|PEKT02000010.1_mrna_1744	B9J08_005123
lcl|PEKT02000010.1_mrna_1745	B9J08_005124
lcl|PEKT02000010.1_mrna_1746	B9J08_005125
lcl|PEKT02000010.1_mrna_1747	B9J08_005126
lcl|PEKT02000010.1_mrna_1748	B9J08_005127
lcl|PEKT02000010.1_mrna_1749	B9J08_005128
lcl|PEKT02000010.1_mrna_1750	B9J08_005129
lcl|PEKT02000010.1_mrna_1751	B9J08_005130
lcl|PEKT02000010.1_mrna_1752	B9J08_005131
lcl|PEKT02000010.1_mrna_1753	B9J08_005132
lcl|PEKT02000010.1_mrna_1754	B9J08_005133
lcl|PEKT02000010.1_mrna_1755	B9J08_005134
lcl|PEKT02000010.1_mrna_1756	B9J08_005135
lcl|PEKT02000010.1_mrna_1757	B9J08_005136
lcl|PEKT02000010.1_mrna_1758	B9J08_005137
lcl|PEKT02000010.1_mrna_1759	B9J08_005138
lcl|PEKT02000010.1_mrna_1760	B9J08_005139
lcl|PEKT02000010.1_mrna_1761	B9J08_005140
lcl|PEKT02000010.1_mrna_1762	B9J08_005141
lcl|PEKT02000010.1_mrna_1763	B9J08_005142
lcl|PEKT02000010.1_mrna_1764	B9J08_005143
lcl|PEKT02000010.1_mrna_1765	B9J08_005144
lcl|PEKT02000010.1_mrna_1766	B9J08_005145
lcl|PEKT02000010.1_mrna_1767	B9J08_005146
lcl|PEKT02000010.1_mrna_1768	B9J08_005147
lcl|PEKT02000010.1_mrna_1769	B9J08_005148
lcl|PEKT02000010.1_mrna_1770	B9J08_005149
lcl|PEKT02000010.1_mrna_1771	B9J08_005150
lcl|PEKT02000010.1_mrna_1772	B9J08_005151
lcl|PEKT02000010.1_mrna_1773	B9J08_005152
lcl|PEKT02000010.1_mrna_1774	B9J08_005153
lcl|PEKT02000010.1_mrna_1775	B9J08_005154
lcl|PEKT02000010.1_mrna_1776	B9J08_005155
lcl|PEKT02000010.1_mrna_1777	B9J08_005156
lcl|PEKT02000010.1_mrna_1778	B9J08_005157
lcl|PEKT02000010.1_mrna_1779	B9J08_005158
lcl|PEKT02000010.1_mrna_1780	B9J08_005159
lcl|PEKT02000010.1_mrna_1781	B9J08_005160
lcl|PEKT02000010.1_mrna_1782	B9J08_005161
lcl|PEKT02000010.1_mrna_1783	B9J08_005162
lcl|PEKT02000010.1_mrna_1784	B9J08_005163
lcl|PEKT02000010.1_mrna_1785	B9J08_005164
lcl|PEKT02000010.1_mrna_1786	B9J08_005165
lcl|PEKT02000010.1_mrna_1787	B9J08_005166
lcl|PEKT02000010.1_mrna_1788	B9J08_005167
lcl|PEKT02000010.1_mrna_1789	B9J08_005168
lcl|PEKT02000010.1_mrna_1790	B9J08_005169
lcl|PEKT02000010.1_mrna_1791	B9J08_005170
lcl|PEKT02000010.1_mrna_1792	B9J08_005171
lcl|PEKT02000010.1_mrna_1793	B9J08_005172
lcl|PEKT02000010.1_mrna_1794	B9J08_005173
lcl|PEKT02000010.1_mrna_1795	B9J08_005174
lcl|PEKT02000010.1_mrna_1796	B9J08_005175
lcl|PEKT02000010.1_mrna_1797	B9J08_005176
lcl|PEKT02000010.1_mrna_1798	B9J08_005177
lcl|PEKT02000010.1_mrna_1799	B9J08_005178
lcl|PEKT02000010.1_mrna_1800	B9J08_005179
lcl|PEKT02000010.1_trna_1801	B9J08_005180
lcl|PEKT02000010.1_mrna_1802	B9J08_005181
lcl|PEKT02000010.1_mrna_1803	B9J08_005182
lcl|PEKT02000010.1_mrna_1804	B9J08_005183
lcl|PEKT02000010.1_mrna_1805	B9J08_005184
lcl|PEKT02000010.1_mrna_1806	B9J08_005185
lcl|PEKT02000010.1_mrna_1807	B9J08_005186
lcl|PEKT02000010.1_mrna_1808	B9J08_005187
lcl|PEKT02000010.1_mrna_1809	B9J08_005188
lcl|PEKT02000010.1_mrna_1810	B9J08_005189
lcl|PEKT02000010.1_mrna_1811	B9J08_005190
lcl|PEKT02000010.1_mrna_1812	B9J08_005191
lcl|PEKT02000010.1_mrna_1813	B9J08_005192
lcl|PEKT02000010.1_mrna_1814	B9J08_005193
lcl|PEKT02000010.1_mrna_1815	B9J08_005194
lcl|PEKT02000010.1_mrna_1816	B9J08_005195
lcl|PEKT02000010.1_mrna_1817	B9J08_005196
lcl|PEKT02000010.1_mrna_1818	B9J08_005197
lcl|PEKT02000010.1_mrna_1819	B9J08_005198
lcl|PEKT02000010.1_mrna_1820	B9J08_005199
lcl|PEKT02000010.1_mrna_1821	B9J08_005200
lcl|PEKT02000010.1_mrna_1822	B9J08_005201
lcl|PEKT02000010.1_mrna_1823	B9J08_005202
lcl|PEKT02000010.1_mrna_1824	B9J08_005203
lcl|PEKT02000010.1_mrna_1825	B9J08_005204
lcl|PEKT02000010.1_mrna_1826	B9J08_005205
